0	Index      	 *	Score 	Summary	Detail	Bounty	
1	14263 12225	 * 	303.11	橙5易伤2等级3时间	137敌人爆炸2379a易伤379序列升级4基地爆炸59等级679时间8核	6
2	14234 32312	   	300.91	橙4易伤2等级3时间2攻速	137敌人爆炸238a易伤37a序列升级47等级57a时间6核9a攻速	5
3	34234 32312	   	300.91	橙4易伤2等级3时间2攻速	137基地爆炸238a易伤37a序列升级47等级57a时间6核9a攻速	5
4	54234 32312	   	300.61	橙4易伤2等级3时间2攻速	137挖尘238a易伤37a序列升级47等级57a时间6核9a攻速	5
5	34213 34432	 * 	294.40	橙4易伤2等级2伤害1时间	139基地爆炸238a易伤3a序列升级4时间5a等级6核7a伤害	5
6	34221 21632	 * 	289.97	橙4易伤2伤害2时间1等级	139基地爆炸234a易伤3a序列升级5等级6a伤害7a时间8核	6
7	14213 32312	 * 	287.59	橙4易伤3等级2时间2攻速	137敌人爆炸238a易伤37a序列升级47时间57a等级6核9a攻速	5
8	34213 32312	   	287.59	橙4易伤3等级2时间2攻速	137基地爆炸238a易伤37a序列升级47时间57a等级6核9a攻速	5
9	54213 32312	   	287.29	橙4易伤3等级2时间2攻速	137挖尘238a易伤37a序列升级47时间57a等级6核9a攻速	5
10	14263 12221	   	284.76	橙4易伤2等级3时间	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a低血量敌人	6
11	14263 12222	   	284.76	橙4易伤2等级3时间	137敌人爆炸2379易伤379序列升级4a基地爆炸59等级679时间8核	6
12	14263 12223	   	284.76	橙4易伤2等级3时间	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a金币生成	6
13	14263 12226	   	284.76	橙4易伤2等级3时间	137敌人爆炸2379易伤379序列升级4基地爆炸59等级679时间8核a最后敌人	6
14	54263 12221	   	284.46	橙4易伤2等级3时间	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a低血量敌人	6
15	54263 12222	   	284.46	橙4易伤2等级3时间	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a敌人爆炸	6
16	54263 12223	   	284.36	橙4易伤2等级3时间	137挖尘2379易伤379序列升级4基地爆炸59等级679时间8核a加一	6
17	34233 12225	   	284.09	橙5易伤3时间1等级	137基地爆炸2379a易伤379序列升级4等级59敌人爆炸679时间8核	6
18	54233 12225	   	283.79	橙5易伤3时间1等级	137挖尘2379a易伤379序列升级4等级59敌人爆炸679时间8核	6
19	34221 25632	   	278.05	橙4易伤2等级2伤害	139基地爆炸234a易伤3a序列升级5a等级6a伤害7挖青8核	7
20	14213 12223	   	275.30	橙5易伤2等级1时间	137敌人爆炸2379a易伤379序列升级4时间59等级679低血量敌人8核	5
21	34213 12223	   	275.30	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679低血量敌人8核	5
22	34213 62225	   	275.30	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679敌人爆炸8核	6
23	14213 52225	   	275.00	橙5易伤2等级1时间	137敌人爆炸2379a易伤379序列升级4时间59等级679挖尘8核	5
24	34213 52225	   	275.00	橙5易伤2等级1时间	137基地爆炸2379a易伤379序列升级4时间59等级679挖尘8核	5
25	54213 12223	   	275.00	橙5易伤2等级1时间	137挖尘2379a易伤379序列升级4时间59等级679低血量敌人8核	5
26	14213 32334	   	273.60	橙3易伤2等级2时间1暴击	137敌人爆炸238易伤37序列升级47时间57等级6核9全技能a暴击	5
27	14234 32334	   	273.60	橙3易伤2等级2时间1暴击	137敌人爆炸238易伤37序列升级47等级57时间6核9全技能a暴击	5
28	34213 32334	   	273.60	橙3易伤2等级2时间1暴击	137基地爆炸238易伤37序列升级47时间57等级6核9全技能a暴击	5
29	34234 32334	   	273.60	橙3易伤2等级2时间1暴击	137基地爆炸238易伤37序列升级47等级57时间6核9全技能a暴击	5
30	54213 32334	   	273.30	橙3易伤2等级2时间1暴击	137挖尘238易伤37序列升级47时间57等级6核9全技能a暴击	5
31	34221 24321	 * 	273.25	橙3易伤3等级2伤害1时间	138基地爆炸234易伤38序列升级578等级68伤害9时间a核	10
