0	Index      	 *	Score 	Summary	Detail	
1	45315 13311	 * 	212.99	DCR|4VULN|3DMG	145aVULN|249DMG|3LEGI|4BPWR|6RCR|7RCVC|8AELBLL
2	42234 32324	 * 	211.44	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	15aVULN|25DUR|3BELT|4AART|5aBPWR|6aLIT|7RCR|8aASPD|9AAC
3	45315 11311	 * 	209.29	DCR|5VULN|2DMG	1459aVULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8DUST
4	42234 52314	   	207.35	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|aASPD
5	42231 53324	 * 	206.34	DCR|2VULN|2AART|2ASPD|1AAC|1DUR	1aVULN|2DUR|3BELT|47AART|5aLIT|6RCR|8aASPD|9AAC|aBPWR
6	42234 52312	 * 	206.12	DCR|3VULN|1MDPS|1AART|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|aMDPS
7	42631 15131	 * 	205.97	ACR|3VULN|3DMG|1AART|2DUR	18aVULN|25DUR|3RCR|48BASFIG|689DMG|7AART|8BPWR
8	42234 51314	   	205.35	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aASPD
9	42631 15133	 * 	204.21	ACR|3DMG|2VULN|2AART|2DUR	18VULN|25DUR|3RCR|48BASFIG|689DMG|7aAART|8BPWR
10	42234 51312	   	204.12	DCR|3VULN|1MDPS|1AART|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aMDPS
11	42234 52311	 * 	203.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|aCDMG
12	42234 52324	   	203.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	15aVULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|8ZMB|9CDMG
13	43335 12223	 * 	201.55	DCR|3VULN|2AART|1DMG	145VULN|2BEXP|3CGEN|6RCR|79AART|8AME|aDMG
14	43335 12623	 * 	201.55	DCR|3VULN|2AART|1ASPD	145VULN|2BEXP|3CGEN|6RCR|79AART|8FEWX|aASPD
15	42234 51311	   	201.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	159VULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|aCDMG
16	42234 51324	   	201.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	15aVULN|25DUR|3BELT|4AART|5BPWR|6MBVNT|7ZMB|8RCR|9CDMG
17	43335 12323	   	201.45	DCR|3VULN|2AART|1DMG	145VULN|2BEXP|3CGEN|6RCR|79AART|8TLV|aDMG
18	42335 13533	 * 	200.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	145VULN|2DUR|3CGEN|6RCR|7BELT|8ZMB|9DMG|aASPD
19	45315 13111	 * 	200.11	DCR|5VULN|1MDPS|2DMG	1459aVULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS
20	45315 13112	   	200.11	DCR|4VULN|2DMG|1MDPS	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|aBEXP
21	45315 13113	   	200.11	DCR|4VULN|2DMG|1MDPS	1459VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|aAME
22	45315 13121	   	200.11	DCR|3VULN|1MDPS|2DMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aRPLT
23	45315 13122	   	200.11	DCR|3VULN|2DMG|1MDPS|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aMSE
24	45315 13123	   	200.11	DCR|3VULN|2DMG|1MDPS	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9MLV|aFEWX
25	45315 13131	   	200.11	DCR|3VULN|1MDPS|2DMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aRPLT
26	45315 13132	   	200.11	DCR|3VULN|1MDPS|2DMG|1MSE	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aMSE
27	45315 13133	   	200.11	DCR|3VULN|2DMG|1MDPS	145VULN|24DMG|3LEGI|4BPWR|6RCR|7RCVC|8MDPS|9ERES|aFEWX
28	62323 33246	 * 	199.48	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	18LIT|2CDMG|3SELL|468VULN|58DUST|7RCR|8BPWR|9AART|aDMG
29	42241 15133	 * 	199.37	DCR|3ASPD|2VULN|1DMG|1DUR	15VULN|2DUR|3BELT|4RMIN|6RCR|78aASPD|9DMG
30	42234 32332	 * 	199.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9RPLT|aDMG
31	42234 32352	   	199.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9LHND|aDMG
32	13311 46163	 * 	199.29	DCR|2VULN|2DMG|2CDMG|1NUKE	126BEXP|38CDMG|48VULN|5LEGI|78DMG|8BPWR|9RCR|aNUKE
33	42234 32311	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9TLV|aDMG
34	42234 32361	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15VULN|25DUR|3BELT|4AART|5BPWR|6LIT|7RCR|8ASPD|9ERES|aDMG
35	42241 13134	 * 	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	15aVULN|2aDUR|3BELT|4RMIN|6RCR|7TLV|8ASPD|9aCDMG|aBPWR
36	42234 52413	 * 	198.26	DCR|3VULN|1AART|3DUR|1CDMG	15aVULN|258DUR|3BELT|4AART|5BPWR|6MBVNT|7RCR|9CDMG
37	21342 21521	 * 	198.18	DCR|3DMG|1AART|1VULN|2CDMG	12LHND|38CDMG|4AART|567DMG|9RCR|aVULN
38	35531 21521	   	198.18	DCR|3DMG|1VULN|1AART|2CDMG	13LWND|267DMG|4AART|58CDMG|9RCR|aVULN
39	41231 53324	   	198.03	DCR|2VULN|2AART|2ASPD|1AAC	1aVULN|2LHND|3BELT|47AART|5aLIT|6RCR|8aASPD|9AAC|aBPWR
40	43231 53324	   	198.03	DCR|2VULN|2AART|2ASPD|1AAC	1aVULN|2BEXP|3BELT|47AART|5aLIT|6RCR|8aASPD|9AAC|aBPWR
41	41234 32324	   	197.89	DCR|3VULN|2ASPD|1AART|1AAC	15aVULN|25LHND|3BELT|4AART|5aBPWR|6aLIT|7RCR|8aASPD|9AAC
42	43234 32324	   	197.89	DCR|3VULN|2ASPD|1AART|1AAC	15aVULN|25BEXP|3BELT|4AART|5aBPWR|6aLIT|7RCR|8aASPD|9AAC
43	65521 32332	 * 	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1aLIT|2TLV|3AART|46VULN|5CDMG|7DMG|8ASPD|9RCR
44	65521 32331	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2TLV|3AART|46VULN|5CDMG|7DMG|8ASPD|9RCR|aERES
45	65521 32333	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1LIT|2TLV|3AART|46VULN|5CDMG|7DMG|8ASPD|9RCR|aMSE
46	13313 46263	 * 	197.72	DCR|3VULN|1AART|1DMG|1CDMG	12BEXP|3CDMG|49aVULN|5AELBLL|6AART|7DMG|8RCR
47	13313 46253	 * 	197.48	DCR|2VULN|2DMG|1AART|1CDMG	12BEXP|3CDMG|4aVULN|5AELBLL|6AART|79DMG|8RCR
48	45315 11122	 * 	197.43	DCR|3VULN|2DMG|1CDMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8RCVC|9AME|aCDMG
49	45315 11132	   	197.33	DCR|3VULN|2DMG|1CDMG	145VULN|24DMG|3LEGI|4BPWR|6RCR|7BEXP|8RCVC|9ERES|aCDMG
