0	Index      	 *	Score 	Summary	Detail	
1	64212 11235	 * 	212.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1LIT|2RPLT|3DMG|45AART|67VULN|8CDMG|9ASPD|aRCR
2	33535 22125	 * 	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1MLV|2567VULN|3ASPD|4CDMG|8RCR|9DUST|aDMG
3	33535 22114	 * 	208.62	DCR|4VULN|1MDPS|1ASPD|1CDMG	1MLV|2567VULN|3ASPD|4CDMG|8RCR|9RPLT|aMDPS
4	33535 22133	   	208.52	DCR|4VULN|1MDPS|1ASPD|1CDMG	1MLV|2567VULN|3ASPD|4CDMG|8RCR|9ERES|aMDPS
5	32335 11536	 * 	208.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1MLV|2DMG|3LHND|4CDMG|59aVULN|67ASPD|8RCR
6	33535 23436	   	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1MLV|256VULN|39ASPD|4CDMG|7MBVNT|8RCR|aDMG
7	34112 23436	 * 	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13MLV|23CDMG|3BPWR|46VULN|5DMG|7MBVNT|8RCR|9ASPD|aAART
8	14542 33532	 * 	206.92	DCR|2VULN|1MDPS|2ASPD|1AART|1AAC|1ZMB	1DMSP|26ASPD|3MBVNT|4AAC|56VULN|6BPWR|7ZMB|8RCR|9AART|aMDPS
9	33535 22126	 * 	203.95	DCR|5VULN|1ASPD|1CDMG	1MLV|2567aVULN|3ASPD|4CDMG|8RCR|9DUST
10	33535 23437	 * 	203.91	DCR|4VULN|2ASPD|1CDMG	1MLV|256aVULN|39ASPD|4CDMG|7MBVNT|8RCR
11	32234 24334	 * 	202.64	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	18MLV|28DMG|3BEXP|4CDMG|58ASPD|6RCVC|7RCR|8BPWR|9ZMB|aVULN
12	34112 22145	 * 	201.53	DCR|3VULN|2CDMG|1ASPD|1DMG	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9LHND|aASPD
13	34112 22156	 * 	201.53	DCR|3VULN|2CDMG|1DMG|1NUKE	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9DMSP|aNUKE
14	34112 22125	   	201.43	DCR|3VULN|2CDMG|1ASPD|1DMG	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9DUST|aASPD
15	34112 22165	   	201.43	DCR|3VULN|2CDMG|1ASPD|1DMG	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9LEGI|aASPD
16	34134 22125	   	201.43	DCR|3VULN|2CDMG|1ASPD|1DMG	13MLV|23CDMG|3BPWR|4ASPD|567VULN|8RCR|9DUST|aDMG
17	34112 22114	 * 	200.30	DCR|3VULN|1MDPS|2CDMG|1DMG	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9RPLT|aMDPS
18	34134 22114	 * 	200.30	DCR|3VULN|1MDPS|2CDMG|1ASPD	13MLV|23CDMG|3BPWR|4ASPD|567VULN|8RCR|9RPLT|aMDPS
19	34112 22133	   	200.20	DCR|3VULN|1MDPS|2CDMG|1DMG	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9ERES|aMDPS
20	34134 22133	   	200.20	DCR|3VULN|1MDPS|2CDMG|1ASPD	13MLV|23CDMG|3BPWR|4ASPD|567VULN|8RCR|9ERES|aMDPS
21	32234 34334	   	200.13	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	18MLV|28DMG|3BEXP|4CDMG|58ASPD|6DMSP|7RCR|8BPWR|9ZMB|aVULN
22	33535 22151	   	200.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1MLV|2567VULN|3ASPD|4CDMG|8RCR|9DMSP|aZMB
23	34134 22253	   	199.53	DCR|3VULN|2CDMG|1ASPD|1DMG	138MLV|23CDMG|3BPWR|4ASPD|567VULN|9RCR|aDMG
24	32335 11531	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MLV|2DMG|3LHND|4CDMG|59VULN|67ASPD|8RCR|aDUR
25	42335 11531	   	198.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1ERES|2DMG|3LHND|4CDMG|59VULN|67ASPD|8RCR|aDUR
26	32334 14336	   	198.51	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2DMG|3LHND|4CDMG|5ASPD|6RCVC|7RCR|89aVULN
27	34134 23436	 * 	197.82	DCR|2VULN|2ASPD|2CDMG|1DMG	13MLV|23CDMG|3BPWR|49ASPD|56VULN|7MBVNT|8RCR|aDMG
28	33535 23446	 * 	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1MLV|256VULN|3ASPD|4CDMG|7MBVNT|8RCR|9CGEN|aAART
29	32125 16432	 * 	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1MLV|24DMG|3RPLT|5VULN|6ASPD|7ZMB|8DUR|9RCR|aAART
30	34112 22146	 * 	197.32	DCR|4VULN|2CDMG|1DMG	13MLV|23CDMG|3BPWR|467aVULN|5DMG|8RCR|9LHND
31	34112 22126	   	197.22	DCR|4VULN|2CDMG|1DMG	13MLV|23CDMG|3BPWR|467aVULN|5DMG|8RCR|9DUST
32	34112 22166	   	197.22	DCR|4VULN|2CDMG|1DMG	13MLV|23CDMG|3BPWR|467aVULN|5DMG|8RCR|9LEGI
33	34134 22126	 * 	197.22	DCR|4VULN|2CDMG|1ASPD	13MLV|23CDMG|3BPWR|4ASPD|567aVULN|8RCR|9DUST
34	34112 22253	 * 	197.06	DCR|3VULN|2DMG|2CDMG	138MLV|23CDMG|3BPWR|467VULN|5aDMG|9RCR
35	33533 13553	   	196.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1MLV|27VULN|36ASPD|4CDMG|5DUR|8FEWX|9RCR|aDMG
36	33535 22135	   	196.46	DCR|4VULN|1ASPD|1CDMG|1AAC	1MLV|2567VULN|3ASPD|4CDMG|8RCR|9ERES|aAAC
37	14342 31123	   	196.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMSP|26ASPD|3BEXP|4DMG|567VULN|6BPWR|8DUR|9FEWX|aRCR
38	32335 13536	   	196.21	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2DMG|3LHND|4CDMG|59aVULN|6ASPD|7RCVC|8RCR
39	32334 24336	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2DMG|3LHND|4CDMG|5ASPD|6AELBLL|7RCR|89aVULN
40	32333 11533	   	195.90	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1MLV|2aDMG|3LHND|4CDMG|5DUR|67ASPD|8RCR|9VULN
41	34134 23437	 * 	195.59	DCR|3VULN|2ASPD|2CDMG	13MLV|23CDMG|3BPWR|49ASPD|56aVULN|7MBVNT|8RCR
42	33535 23426	   	195.51	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|256VULN|3ASPD|4CDMG|7MBVNT|8RCR|9RCVC|aDMG
43	34112 22256	   	195.32	DCR|4VULN|2CDMG|1DMG	138MLV|23CDMG|3BPWR|467aVULN|5DMG|9RCR
44	44121 22135	   	195.02	DCR|4VULN|2CDMG|1ASPD	134ERES|23CDMG|3BPWR|568aVULN|7ASPD|9RCR
45	32125 16433	 * 	194.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1MLV|24DMG|3RPLT|5aVULN|6ASPD|7ZMB|8DUR|9RCR
46	33531 22145	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	15MLV|267VULN|3ASPD|4CDMG|8RCR|9LHND|aDMG
47	33531 22156	 * 	194.01	DCR|3VULN|1ASPD|1NUKE|1CDMG	15MLV|267VULN|3ASPD|4CDMG|8RCR|9DMSP|aNUKE
48	33535 53323	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|25aVULN|3ASPD|4CDMG|6SNIFST|7AELBLL|8RCR|9DMG
49	33531 22125	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	15MLV|267VULN|3ASPD|4CDMG|8RCR|9DUST|aDMG
50	33531 22165	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	15MLV|267VULN|3ASPD|4CDMG|8RCR|9LEGI|aDMG
51	33535 21125	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|256VULN|3ASPD|4CDMG|7AELBLL|8RCR|9DUST|aDMG
52	33535 23453	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|256VULN|3ASPD|4CDMG|7MBVNT|8RCR|9LWND|aDMG
53	33535 23413	   	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|256VULN|3ASPD|4CDMG|7MBVNT|8RCR|9DUST|aDMG
54	31126 51633	 * 	193.51	DCR|3DMG|2ASPD|1VULN|1DUR	1aMLV|2CGEN|3RPLT|48aDMG|5DUR|6VULN|7aASPD|9RCR|aBPWR
55	33535 22323	   	193.22	DCR|4VULN|2CDMG|1ASPD	1MLV|2567VULN|3ASPD|48CDMG|9LIT|aRCR
56	33533 13115	   	192.47	DCR|3VULN|2ASPD|1CDMG|1DUR	1MLV|278VULN|36ASPD|4CDMG|5DUR|9RPLT|aRCR
57	43533 13115	   	192.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1ERES|278VULN|36ASPD|4CDMG|5DUR|9RPLT|aRCR
58	33531 22253	   	192.01	DCR|3VULN|1ASPD|1DMG|1CDMG	158MLV|267VULN|3ASPD|4CDMG|9RCR|aDMG
59	34112 23431	   	191.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13MLV|23CDMG|3BPWR|46VULN|5DMG|7MBVNT|8RCR|9ASPD|aDUR
60	33143 32263	   	191.87	DCR|3VULN|2ASPD|1DMG	13MLV|267VULN|4DMG|5ERES|8RCR|9aASPD
61	64212 11224	   	191.86	DCR|2VULN|2AART|1DMG|1CDMG	1LIT|2RPLT|3DMG|45AART|67VULN|8CDMG|9DUST|aRCR
62	34112 22151	   	191.80	DCR|3VULN|2CDMG|1DMG|1ZMB	13MLV|23CDMG|3BPWR|467VULN|5DMG|8RCR|9DMSP|aZMB
63	34134 22151	   	191.80	DCR|3VULN|2CDMG|1ASPD|1ZMB	13MLV|23CDMG|3BPWR|4ASPD|567VULN|8RCR|9DMSP|aZMB
