0	Index      	 *	Score 	Summary	Detail	
1	31222 43133	 * 	220.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MLV|2AART|3ASPD|489VULN|5BELT|6RCR|7CDMG|aMDPS
2	31222 43143	 * 	218.79	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1MLV|29AART|3ASPD|48VULN|5BELT|6RCR|7CDMG|aMDPS
3	23323 16123	 * 	216.28	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	1aVULN|2MLV|3aDMG|4CDMG|5AART|6CGEN|79aDUR|8RCR|aBPWR
4	23323 46123	   	216.28	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	1aVULN|2MLV|3aDMG|4CDMG|5AART|6AME|79aDUR|8RCR|aBPWR
5	31232 43135	 * 	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MLV|2AART|3ASPD|4DUR|5BELT|6RCR|7CDMG|89VULN|aDMG
6	31222 43365	 * 	211.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1MLV|2AART|3ASPD|4VULN|5BELT|6RCR|7CDMG|8aDMG|9ZMB
7	31222 42346	 * 	211.03	DCR|3ASPD|2VULN|1AART|1CDMG	1MLV|2AART|378ASPD|4aVULN|5BELT|6RCR|9CDMG
8	23326 11123	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aVULN|2MLV|3aDMG|4CDMG|59DUR|6AART|7aERES|8RCR|aBPWR
9	31232 43133	   	211.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1MLV|2AART|3ASPD|4DUR|5BELT|6RCR|7CDMG|89VULN|aMDPS
10	31121 33211	   	210.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1MLV|2AART|3LWND|4DUR|568VULN|7RCR|9ASPD|aMDPS
11	31321 13211	   	210.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1MLV|2AART|358VULN|4DUR|6LHND|7RCR|9ASPD|aMDPS
12	31322 33211	   	210.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1MLV|2AART|368VULN|4DUR|5BEXP|7RCR|9ASPD|aMDPS
13	31323 33211	   	210.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1MLV|2AART|368VULN|4DUR|5FEWX|7RCR|9ASPD|aMDPS
14	31341 53211	   	210.50	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1MLV|2AART|358VULN|4LEGI|6DUR|7RCR|9ASPD|aMDPS
15	51121 53211	   	210.50	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1TLV|2AART|3LWND|4DUR|568VULN|7RCR|9ASPD|aMDPS
16	51321 13211	   	210.50	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1TLV|2AART|358VULN|4DUR|6LHND|7RCR|9ASPD|aMDPS
