0	Index      	 *	Score 	Summary	Detail	
1	11613 55213	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|79VULN|8DMG|aASPD
2	11613 55211	 * 	211.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|79aVULN|8DMG
3	12415 34231	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|7aVULN|8RCR|9AART
4	62115 34231	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7aVULN|8RCR|9AART
5	64352 11231	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|4DUR|5DUST|6aVULN|7ASPD|8RCR|9AART
6	54113 51123	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19BEXP|2DMG|39DUST|4AART|5CDMG|6RCR|7VENFST|89VULN|9BPWR|aASPD
7	12415 34233	 * 	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|7VULN|8RCR|9aAART
8	62115 34233	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7VULN|8RCR|9aAART
9	64352 11233	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|4DUR|5DUST|6VULN|7ASPD|8RCR|9aAART
10	12352 25633	 * 	201.81	DCR|4VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456aVULN|5BPWR|7AME|8RCR|9DUR
11	12352 21633	   	201.71	DCR|4VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456aVULN|5BPWR|7TLV|8RCR|9DUR
12	12352 21662	   	201.71	DCR|4VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|4569VULN|5BPWR|7TLV|8RCR|aDUR
13	12352 26633	   	201.71	DCR|4VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|456aVULN|5BPWR|7ERES|8RCR|9DUR
14	12355 21633	   	201.71	DCR|4VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|456aVULN|7TLV|8RCR|9DUR
15	61311 41152	 * 	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1LWND|2BEXP|35VULN|4MDPS|6RCR|7CDMG|8aDMG|9AART
16	14311 31441	 * 	201.35	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7RCR|8ASPD|9ZMB|aAART
17	15331 41411	 * 	201.09	DCR|3ASPD|2VULN|1AART|1DUR	1DUST|24CGEN|34VULN|4BPWR|5DUR|689ASPD|7RCR|aAART
18	13345 21412	   	200.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|4DUR|56VULN|7RCR|8ASPD|9FEWX|aAART
19	13355 11412	   	200.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|45VULN|6DUR|7RCR|8ASPD|9FEWX|aAART
20	13355 21621	 * 	200.74	DCR|3VULN|1ASPD|1DMG|1CDMG	1DUST|2RMIN|3DMG|456VULN|7TLV|8RCR|9ASPD|aCDMG
21	15331 41412	 * 	200.49	DCR|3VULN|3ASPD|2DUR	1aDUST|24CGEN|34aVULN|4aBPWR|5aDUR|689ASPD|7RCR
22	12352 25622	 * 	200.18	DCR|3VULN|2ASPD|1DMG|1DUR	15DUST|29ASPD|3DMG|456VULN|5BPWR|7AME|8RCR|aDUR
23	12352 21622	   	200.08	DCR|3VULN|2ASPD|1DMG|1DUR	15DUST|29ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|aDUR
24	12352 26622	   	200.08	DCR|3VULN|2ASPD|1DMG|1DUR	15DUST|29ASPD|3DMG|456VULN|5BPWR|7ERES|8RCR|aDUR
25	12355 21622	   	200.08	DCR|3VULN|2ASPD|1DMG|1DUR	1DUST|29ASPD|3DMG|456VULN|7TLV|8RCR|aDUR
26	12345 24122	 * 	199.55	DCR|3VULN|2DMG|1ASPD|1DUR	1DUST|2ASPD|38DMG|4DUR|569VULN|7LIT|aRCR
27	12352 14122	   	199.55	DCR|3VULN|2DMG|1ASPD|1DUR	15DUST|2ASPD|38DMG|459VULN|5BPWR|6DUR|7LIT|aRCR
