0	Index      	 *	Score 	Summary	Detail	
1	21211 61647	 * 	214.94	DCR|5VULN|2DMG|2DUR	19ERES|24DUR|34679VULN|49BPWR|5MBVNT|89DMG|aRCR
2	36125 36122	 * 	214.19	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2CDMG|357VULN|4DUR|6RCR|8DMG|9AME|aAART
3	36125 36131	 * 	213.24	DCR|3VULN|2DMG|1CDMG|2DUR	1RCVC|2CDMG|357VULN|49DUR|6RCR|8aDMG
4	36125 36133	 * 	211.50	DCR|4VULN|1DMG|1CDMG|2DUR	1RCVC|2CDMG|357aVULN|49DUR|6RCR|8DMG
5	42313 51316	 * 	211.46	DCR|2VULN|2DMG|2ASPD|1AART|1SELL	19ASPD|29DMG|3MLV|4SELL|5AART|6RMIN|7FEWX|89VULN|9BPWR|aRCR
6	43135 12112	 * 	211.40	DCR|3VULN|2DMG|2ASPD	18ASPD|2RCVC|3LIT|48aVULN|5ERES|6MLV|78DMG|8BPWR|9RCR
7	54331 21252	 * 	211.39	DCR|4VULN|2DMG|1ASPD	1RPLT|2369VULN|459BEXP|79DMG|8RCR|9BPWR|aASPD
8	56331 21252	   	211.39	DCR|4VULN|2DMG|1ASPD	1RPLT|259BEXP|3469VULN|79DMG|8RCR|9BPWR|aASPD
9	41323 23316	 * 	211.19	DCR|2VULN|2ASPD|1AART|2CDMG|2DUR	19ASPD|29DUR|3MLV|4MBVNT|57CDMG|69VULN|8AART|9BPWR|aRCR
10	36125 31113	 * 	210.23	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7aDMG|8BEXP|9ASPD
11	43615 13123	   	209.50	DCR|3VULN|2DMG|2ASPD	17ASPD|2RCVC|3SPLJET|467VULN|57DMG|7BPWR|8RMIN|9FEWX|aRCR
12	43615 13133	   	209.40	DCR|3VULN|2DMG|2ASPD	17ASPD|2RCVC|3SPLJET|467VULN|57DMG|7BPWR|8RMIN|9DUST|aRCR
13	36125 31351	   	209.14	DCR|3VULN|2DMG|1CDMG|1DUR	18RCVC|2CDMG|359VULN|4DUR|6RCR|7aDMG
14	34422 33333	 * 	208.42	DCR|1SPLARM|2VULN|2DMG|2ASPD	1RCVC|247CANARM|34VULN|47BPWR|57ASPD|67DMG|8RMIN|9RCR|aSPLARM
15	36125 11242	   	208.09	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1RCVC|2CDMG|356VULN|4DUR|7DMG|8AAC|9RCR|aAART
16	12422 61431	   	207.86	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	125LWND|37ASPD|47DUR|67VULN|7BPWR|8RCR|9CDMG|aAART
17	41132 61431	   	207.86	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	17ASPD|27DUR|345LWND|67VULN|7BPWR|8RCR|9CDMG|aAART
18	41236 31431	   	207.86	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	17ASPD|27DUR|37VULN|456LWND|7BPWR|8RCR|9CDMG|aAART
19	36125 31342	   	207.84	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|9ZMB|aAART
20	36125 31353	   	207.40	DCR|4VULN|1DMG|1CDMG|1DUR	18RCVC|2CDMG|359aVULN|4DUR|6RCR|7DMG
21	42213 21362	   	207.17	DCR|3VULN|2DMG|2ASPD|2SELL	18ASPD|28DMG|37SELL|4FEWX|5TLV|68aVULN|8BPWR|9RCR
22	42132 22564	 * 	206.90	DCR|3VULN|3ASPD|1MDPS|1DMG	149ASPD|2DMG|39LHND|5MDPS|69aVULN|7RCR|8MBVNT|9BPWR
23	36115 36122	   	205.89	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2CDMG|357VULN|4FEWX|6RCR|8DMG|9AME|aAART
24	42213 21363	 * 	205.59	DCR|2VULN|2DMG|2ASPD|1CDMG|2SELL	18ASPD|28DMG|37SELL|4FEWX|5TLV|68VULN|8BPWR|9RCR|aCDMG
25	36133 21266	 * 	205.45	DCR|2VULN|2DMG|2CDMG|1ASPD	1RCVC|29CDMG|36VULN|49BEXP|5MBVNT|79DMG|8RCR|9BPWR|aASPD
26	41211 53131	 * 	205.31	DCR|4VULN|2ASPD|2DUR	18ASPD|25DUR|389aVULN|48TSLFST|6RCR|7BELT|8BPWR
27	43223 15633	 * 	204.00	DCR|3VULN|2ASPD|3DUR|2ZMB	18ASPD|2RCVC|349DUR|58ZMB|678VULN|8BPWR|aRCR
28	41323 47316	   	203.76	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	19ASPD|29DUR|3MLV|4MBVNT|5CDMG|6DMSP|79VULN|8AART|9BPWR|aRCR
29	43131 61613	   	203.65	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RCVC|3LIT|478aVULN|5DUR|6DMG|9RCR
30	36125 31153	 * 	203.29	DCR|3VULN|2CDMG|1DMG|2DUR	1RCVC|29CDMG|359VULN|4aDUR|6RCR|7DMG|89BEXP|9BPWR
31	36125 31253	   	203.29	DCR|3VULN|2CDMG|1DMG|2DUR	1RCVC|29CDMG|359VULN|4aDUR|6RCR|7DMG|89LWND|9BPWR
32	42513 22534	 * 	203.27	DCR|3DMG|2VULN|1MDPS|1ASPD|1DUR	1ASPD|239DMG|4MDPS|5DUR|6aVULN|7RCR|8MBVNT
33	36125 31163	   	202.98	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|9ZMB|aASPD
34	36125 31213	   	202.98	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|35VULN|4DUR|6RCR|7DMG|8LWND|9ASPD|aZMB
35	43131 32613	   	202.02	DCR|3VULN|2ASPD|1DMG|1DUR	16ASPD|2RCVC|3LIT|48aVULN|5DUR|7DMG|9RCR
36	36115 31113	   	201.93	DCR|2VULN|2DMG|1ASPD|1CDMG	1RCVC|2CDMG|35VULN|4FEWX|6RCR|7aDMG|8BEXP|9ASPD
37	42413 22534	 * 	201.84	DCR|2VULN|2DMG|1MDPS|2ASPD|1DUR	13ASPD|29DMG|4MDPS|5DUR|6aVULN|7RCR|8MBVNT
38	22363 31552	 * 	201.15	DCR|2DMG|2ASPD|1AART|1CDMG|2ZMB	1ERES|29ASPD|3LHND|4TLV|59ZMB|6CDMG|79DMG|8RCR|9BPWR|aAART
39	22123 44216	 * 	200.95	DCR|3VULN|1AART|2CDMG|1ASPD	19ERES|2ASPD|3LEGI|4MBVNT|59CDMG|6AART|789VULN|9BPWR|aRCR
40	36115 31351	   	200.84	DCR|3VULN|2DMG|1CDMG	18RCVC|2CDMG|359VULN|4FEWX|6RCR|7aDMG
41	42413 22316	 * 	200.67	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1DUR	139ASPD|2DMG|4MDPS|5DUR|6VULN|7RCR|8AME|aAART
42	42413 22216	   	200.57	DCR|3ASPD|1MDPS|1VULN|1AART|1DMG|1DUR	139ASPD|2DMG|4MDPS|5DUR|6VULN|7RCR|8ERES|aAART
43	21216 22536	 * 	200.39	DCR|2VULN|1AART|1ASPD|3DUR|1CDMG	1ERES|245DUR|34VULN|4BPWR|6DUST|7RCR|8CDMG|9ASPD|aAART
44	36125 11631	   	200.26	DCR|4VULN|1DMG|1CDMG|1DUR	1RCVC|2CDMG|356aVULN|4DUR|7DMG|8LIT|9RCR
45	36125 31125	   	200.07	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1RCVC|29CDMG|35VULN|4DUR|6RCR|7DMG|8BEXP|aASPD
46	36125 31225	   	200.07	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1RCVC|29CDMG|35VULN|4DUR|6RCR|7DMG|8LWND|aASPD
47	36115 11242	   	199.79	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1RCVC|2CDMG|356VULN|4FEWX|7DMG|8AAC|9RCR|aAART
48	36135 11242	   	199.79	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1RCVC|2CDMG|356VULN|4BEXP|7DMG|8AAC|9RCR|aAART
49	36135 31151	   	199.69	DCR|3VULN|2DMG|1CDMG	1RCVC|2CDMG|359VULN|48BEXP|6RCR|7aDMG
50	36115 31342	   	199.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18RCVC|2CDMG|35VULN|4FEWX|6RCR|7DMG|9ZMB|aAART
51	22123 44716	 * 	199.19	DCR|2VULN|2AART|2CDMG|1ASPD	19ERES|2ASPD|3LEGI|4MBVNT|59CDMG|68AART|79VULN|9BPWR|aRCR
