0	Index      	 *	Score 	Summary	Detail	
1	23421 35242	 * 	209.85	DCR|4VULN|1ASPD|1NUKE|1CDMG	1579VULN|2CDMG|3AELBLL|4CGEN|6ASPD|8RCR|aNUKE
2	21411 62325	 * 	206.01	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	145VULN|24TLV|3RCVC|4BPWR|6RCR|7CDMG|8ZMB|9SPLARM|aASPD
3	21411 63413	 * 	204.53	DCR|4VULN|1AART|1DMG	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8BELT|aAART
4	21411 63226	 * 	203.32	DCR|5VULN|1DMG|1DUR	1459aVULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR
5	23512 23261	   	202.80	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	159VULN|2CDMG|3TSLFST|45CGEN|5BPWR|6RCR|7ZMB|8SPLARM|aASPD
6	23421 35225	 * 	202.69	DCR|3VULN|1SPLARM|2ASPD|1CDMG	157VULN|2CDMG|3AELBLL|4CGEN|6aASPD|8RCR|9SPLARM
7	26415 12232	 * 	202.65	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DUR	149VULN|249MLV|3RCVC|49BPWR|5ASPD|6DUR|79CDMG|8RCR|aMDPS
8	21411 61253	   	201.22	DCR|3VULN|1ASPD|1NUKE|1CDMG	145VULN|24TLV|3RCVC|4BPWR|6RCR|7FEWX|8ASPD|9CDMG|aNUKE
9	23533 32416	 * 	200.43	DCR|1SPLARM|2VULN|2DMG|1CDMG|1DUR	19VULN|2CDMG|3TSLFST|4DMSP|5aDMG|6RCR|7DUR|8SPLARM
10	23411 35242	 * 	200.02	DCR|4VULN|1DMG|1CDMG|1ZMB	1579VULN|2CDMG|3AELBLL|4ERES|6ZMB|8RCR|aDMG
11	21411 63253	   	199.79	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	145VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|9CDMG|aZMB
12	21415 12215	   	199.68	DCR|3VULN|2ASPD|1CDMG|1DUR	14aVULN|24TLV|3RCVC|4aBPWR|5aASPD|6DUR|7CDMG|8RCR|9aDUST
13	21615 13161	 * 	199.43	DCR|3VULN|1AART|1ASPD|1DMG	147VULN|2TLV|3FEWX|5AART|6ASPD|8DMG|9RCR|aLHND
14	21615 13162	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	147VULN|2TLV|3FEWX|5AART|6ASPD|8DMG|9RCR|aCGEN
15	21615 13163	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	147VULN|2TLV|3aFEWX|5AART|6ASPD|8DMG|9RCR
16	23411 35225	   	198.70	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1ZMB	157VULN|2CDMG|3AELBLL|4ERES|6ZMB|8RCR|9SPLARM|aASPD
17	14213 12256	 * 	198.70	DCR|2VULN|2ASPD|1NUKE|1CDMG|1DUR	1CGEN|24ASPD|3AELBLL|59VULN|6DUR|7CDMG|8RCR|aNUKE
18	26411 63222	 * 	198.62	DCR|4VULN|1MDPS|1DMG|1DUR	1459VULN|24MLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aMDPS
19	21411 63222	   	198.42	DCR|4VULN|1MDPS|1DMG|1DUR	1459VULN|24TLV|3RCVC|4BPWR|6RCR|7DMG|8DUR|aMDPS
20	23156 53232	 * 	196.39	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	18VULN|2CDMG|3RMIN|48DUR|5AART|68LHND|7RCR|8BPWR|9RCVC|aASPD
21	23421 35226	 * 	195.89	DCR|3VULN|1SPLARM|2CDMG|1ASPD	157VULN|2aCDMG|3AELBLL|4CGEN|6ASPD|8RCR|9SPLARM
22	21315 13166	 * 	195.82	DCR|2VULN|2ASPD|1AART|1DMG	14VULN|2TLV|37LHND|5AART|6aASPD|8DMG|9RCR
