0	Index      	 *	Score 	Summary	Detail	
1	13111 36216	 * 	221.51	ACR|5VULN|2DMG|1ASPD|1CDMG	1DMSP|2RCR|35679VULN|45DMG|5BPWR|8CDMG|aASPD
2	13111 33452	 * 	220.30	ACR|4VULN|3DMG|1ASPD|2DUR	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8ERES|9aDUR
3	13111 36212	 * 	220.27	ACR|5VULN|1MDPS|2DMG|1CDMG	1DMSP|2RCR|35679VULN|45DMG|5BPWR|8CDMG|aMDPS
4	14111 23836	 * 	218.91	DCR|3VULN|3DMG|1AART	1DMSP|2MBVNT|35aVULN|45aDMG|5aBPWR|6RCR|7aLWND|8RPLT|9AART
5	14111 25336	   	218.91	DCR|3VULN|3DMG|1AART	1DMSP|2MBVNT|35aVULN|45aDMG|5aBPWR|6RCR|7RPLT|8aLWND|9AART
6	14181 24128	 * 	217.90	DCR|2VULN|2AART|2ASPD|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|89AART|aDMG
7	14111 28128	 * 	216.96	DCR|3DMG|2VULN|2AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7FEWX|89AART
8	14111 24128	   	216.86	DCR|3DMG|2VULN|2AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|89AART
9	14111 21123	 * 	215.62	DCR|2VULN|2DMG|1AART|1NUKE|1ZMB	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7ZMB|8RPLT|9AART|aNUKE
10	14111 21648	   	215.52	DCR|2VULN|2DMG|1AART|1NUKE|1ZMB	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7ZMB|8DUST|9AART|aNUKE
11	13111 33166	 * 	215.18	ACR|3VULN|2DMG|1AART|1ASPD|1CDMG	1DMSP|2RCR|356VULN|45DMG|5BPWR|7ASPD|8LIT|9AART|aCDMG
12	13111 32542	   	215.16	ACR|4VULN|3DMG|1ASPD|1DUR	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7DUR|8ASPD|9aMLV
13	13111 32562	   	215.16	ACR|4VULN|3DMG|1ASPD|1DUR	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7DUR|8ASPD|9aCGEN
14	13111 42462	 * 	213.54	ACR|4VULN|1MDPS|2DMG|1AART	1DMSP|2RCR|3589VULN|45DMG|5BPWR|6LIT|7AART|aMDPS
15	14111 21644	   	213.29	DCR|3VULN|2DMG|1AART|1ZMB	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7ZMB|8DUST|9AART
16	14861 21123	 * 	212.25	DCR|2VULN|2ASPD|1AART|1NUKE|1ZMB	1DMSP|2MBVNT|35ASPD|45VULN|5BPWR|6RCR|7ZMB|8RPLT|9AART|aNUKE
17	14181 21123	   	212.25	DCR|2VULN|2ASPD|1AART|1NUKE|1ZMB	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8RPLT|9AART|aNUKE
18	14181 21642	   	212.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8DUST|9AART|aDMG
19	13111 36215	   	211.78	ACR|5VULN|2DMG|1CDMG|1ZMB	1DMSP|2RCR|35679VULN|45DMG|5BPWR|8CDMG|aZMB
20	14111 21128	   	211.63	DCR|2VULN|2AART|2DMG|1ZMB	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7ZMB|8RPLT|9aAART
21	14111 25823	 * 	211.38	DCR|3VULN|3DMG|1CDMG	1DMSP|2MBVNT|359VULN|459DMG|59BPWR|6RCR|7RPLT|89MLV|aCDMG
22	14111 21642	   	211.11	DCR|3DMG|2VULN|1AART|1ZMB	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7ZMB|8DUST|9AART
23	14111 32216	 * 	211.09	DCR|4VULN|3DMG|1DUR	1DMSP|2MBVNT|3568VULN|459DMG|5BPWR|7DUR|aRCR
24	14111 37316	   	211.09	DCR|4VULN|3DMG|1DUR	1DMSP|2MBVNT|3567VULN|459DMG|5BPWR|8DUR|aRCR
25	13111 36244	 * 	210.96	ACR|4VULN|2DMG|1AART|1CDMG	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9LHND|aAART
26	13115 11441	 * 	210.95	ACR|3VULN|2DMG|1AART|2CDMG|1DUR	1DMSP|2RCR|39aVULN|49DMG|5LHND|6DUR|79CDMG|8AART|9BPWR
27	13111 42463	 * 	210.79	ACR|4VULN|2AART|2DMG	1DMSP|2RCR|3589VULN|45DMG|5BPWR|6LIT|7aAART
28	16351 32423	 * 	209.90	DCR|3VULN|1MDPS|2DMG|1AART|1AAC	1DMSP|2RMIN|3aDMG|4AART|5MDPS|6RCR|7AAC|89aVULN|aBPWR
29	14111 28138	   	209.45	DCR|2VULN|2DMG|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|8AART|9RMIN|aNUKE
30	14111 24138	   	209.35	DCR|2VULN|2DMG|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|8AART|9RMIN|aNUKE
31	14181 21128	   	208.27	DCR|2VULN|2AART|2ASPD|1ZMB	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8RPLT|9aAART
32	14181 21643	   	208.17	DCR|2VULN|2AART|2ASPD|1ZMB	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8DUST|9aAART
33	16351 32433	 * 	207.72	DCR|3DMG|2VULN|1MDPS|1AART|1AAC	1DMSP|2RMIN|39aDMG|4AART|5MDPS|6RCR|7AAC|8aVULN|aBPWR
34	13111 36255	   	207.25	ACR|4VULN|2DMG|1ASPD|1CDMG	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9AME|aASPD
35	13111 32551	   	207.23	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9AART|aMLV
36	13111 32553	   	207.23	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9AART|aFEWX
37	13111 32554	   	207.23	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9AART|aLIT
38	13111 32556	   	207.23	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9AART|aLHND
39	13111 42424	   	207.23	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|358VULN|45DMG|5BPWR|6LIT|7AART|9DUR|aASPD
40	13111 42425	 * 	207.23	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|358VULN|45DMG|5BPWR|6LIT|7AART|9DUR|aNUKE
41	14111 28134	   	207.22	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7FEWX|8AART|9RMIN
42	13111 32341	   	207.13	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8AART|9NUKE|aMLV
43	13111 32342	   	207.13	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8AART|9NUKE|aDUST
44	13111 32343	   	207.13	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8AART|9NUKE|aFEWX
45	13111 32344	   	207.13	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8AART|9NUKE|aLIT
46	13111 32346	   	207.13	ACR|3VULN|2DMG|1AART|1NUKE|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8AART|9NUKE|aLHND
47	13111 32552	   	207.13	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9AART|aDUST
48	14111 24134	   	207.12	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7DUST|8AART|9RMIN
49	13111 36231	   	207.00	ACR|4VULN|2DMG|1ASPD|1CDMG|1SELL	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9SELL|aASPD
50	14111 33416	 * 	207.00	DCR|3VULN|3DMG|1ASPD	1DMSP|2MBVNT|356VULN|459DMG|5BPWR|7ASPD|8CGEN|aRCR
51	14111 33516	   	206.90	DCR|3VULN|3DMG|1ASPD	1DMSP|2MBVNT|356VULN|459DMG|5BPWR|7ASPD|8ERES|aRCR
52	13111 31542	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7BEXP|8ASPD|9aMLV
53	13111 31562	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7BEXP|8ASPD|9aCGEN
54	13111 33342	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8FEWX|9aMLV
55	13111 33362	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8FEWX|9aCGEN
56	13111 33542	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8LWND|9aMLV
57	13111 33562	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8LWND|9aCGEN
58	13111 33642	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8LHND|9aMLV
59	13111 33662	   	206.85	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8LHND|9aCGEN
60	13111 33422	   	206.75	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8ERES|9aLWND
61	13111 33432	   	206.75	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|356aVULN|45aDMG|5aBPWR|7ASPD|8ERES|9aBEXP
62	11313 34441	   	206.73	DCR|3DMG|2VULN|1AART|2DUR	1DMSP|29LWND|35DUR|459DMG|59BPWR|69VULN|7RPLT|8AART|aRCR
63	13111 36333	   	206.65	ACR|4VULN|3DMG|1ASPD	1DMSP|2RCR|3567VULN|459DMG|5BPWR|8RPLT|aASPD
64	16151 32423	 * 	206.53	DCR|3VULN|1MDPS|2ASPD|1AART|1AAC	1DMSP|2RMIN|3aASPD|4AART|5MDPS|6RCR|7AAC|89aVULN|aBPWR
65	26551 21143	 * 	206.52	DCR|1SPLARM|2VULN|2ASPD|1AART|1AAC|1ZMB	1TLV|25ASPD|3AAC|45VULN|5BPWR|6RCR|7ZMB|8MBVNT|9AART|aSPLARM
66	13111 53452	   	206.49	ACR|3VULN|3DMG|1ASPD|2DUR	1DMSP|2RCR|35aVULN|45aDMG|5aBPWR|6RCVC|7ASPD|8ERES|9aDUR
67	14111 25184	 * 	206.37	DCR|1SPLARM|2VULN|2DMG|1ASPD|1ZMB	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7RPLT|8SPLARM|9ZMB|aASPD
68	16353 32231	   	206.34	DCR|2VULN|2AART|2DMG|1AAC	1DMSP|2RMIN|3aDMG|49AART|5AAC|6aVULN|7RCR|8aSPLJET|aBPWR
69	14181 28132	   	206.09	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7FEWX|8AART|9RMIN|aDMG
70	14181 21153	 * 	206.06	DCR|2VULN|2DMG|2ASPD|1ZMB	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8RPLT|9aDMG
71	14861 24132	   	205.99	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35ASPD|45VULN|5BPWR|6RCR|7DUST|8AART|9RMIN|aDMG
72	14181 24132	   	205.99	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8AART|9RMIN|aDMG
73	14181 24138	   	205.99	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8AART|9RMIN|aNUKE
74	13111 36221	   	205.91	ACR|4VULN|1MDPS|2DMG|1CDMG	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9MDPS|aERES
75	13111 36222	   	205.91	ACR|4VULN|1MDPS|2DMG|1CDMG	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9MDPS|aLIT
76	13111 36223	   	205.91	ACR|4VULN|1MDPS|2DMG|1CDMG|1SELL	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9MDPS|aSELL
77	13111 36224	   	205.91	ACR|4VULN|1MDPS|2DMG|1CDMG|1MSE	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8CDMG|9MDPS|aMSE
78	13111 36226	   	205.91	ACR|5VULN|1MDPS|2DMG|1CDMG	1DMSP|2RCR|3567aVULN|45DMG|5BPWR|8CDMG|9MDPS
79	12521 21562	 * 	205.72	DCR|2DMG|2ASPD|3ZMB|1VULN	1DMSP|27aZMB|3aDMG|4MLV|5VULN|6RCR|8aASPD|9RMIN|aBPWR
80	14111 23246	 * 	205.64	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7LWND|8CDMG|9RMIN|aAART
81	14111 25821	   	205.47	DCR|3VULN|3DMG|1ZMB	1DMSP|2MBVNT|359VULN|459DMG|59BPWR|6RCR|7RPLT|89MLV|aZMB
82	14848 23412	 * 	205.35	DCR|3DMG|2ASPD|1AART|1CDMG	1DMSP|2MBVNT|38ASPD|48LIT|5AART|68aDMG|7RCR|8BPWR|9CDMG
83	13111 36116	 * 	205.31	ACR|4VULN|3DMG|1MDPS	1DMSP|2RCR|3567VULN|459DMG|5BPWR|8MBVNT|aMDPS
84	14111 26123	   	205.29	DCR|2VULN|2DMG|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7AME|8RPLT|9AART|aNUKE
85	14111 21155	   	205.27	DCR|3VULN|3DMG|1ZMB	1DMSP|2MBVNT|35aVULN|459DMG|5BPWR|6RCR|7ZMB|8RPLT
86	13111 32214	   	205.23	ACR|4VULN|3DMG|1ZMB|1DUR	1DMSP|2RCR|3568VULN|459DMG|5BPWR|7DUR|aZMB
87	14111 24548	   	205.19	DCR|2VULN|2DMG|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|8MLV|9AART|aNUKE
88	14111 24648	   	205.09	DCR|2VULN|2DMG|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|8ERES|9AART|aNUKE
89	14111 28132	   	205.04	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7FEWX|8AART|9RMIN
90	14181 32236	 * 	204.99	DCR|4VULN|3ASPD|1DUR	1DMSP|2MBVNT|3568VULN|459ASPD|5BPWR|7DUR|aRCR
91	14111 24132	   	204.94	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8AART|9RMIN
92	13113 33452	   	204.55	ACR|4VULN|2DMG|1ASPD|2DUR	1DMSP|2RCR|356aVULN|4aDMG|7ASPD|8ERES|9aDUR|aBPWR
93	13111 32523	   	203.87	ACR|3VULN|2DMG|1ASPD|1CDMG|1DUR	1DMSP|2RCR|356VULN|45DMG|5BPWR|7DUR|8ASPD|9RMIN|aCDMG
94	13113 36216	   	203.82	ACR|5VULN|1ASPD|1DMG|1CDMG	1DMSP|2RCR|35679VULN|4DMG|8CDMG|aASPD
95	14183 24128	   	203.58	DCR|2VULN|2AART|1ASPD|1DMG	1DMSP|2MBVNT|35VULN|4ASPD|6RCR|7DUST|89AART|aDMG
96	14111 32312	   	203.36	DCR|3VULN|2DMG|1AART|1DUR	1DMSP|2MBVNT|356VULN|45DMG|5BPWR|7DUR|8AART|9MLV|aRCR
97	14111 34312	   	203.36	DCR|3VULN|2DMG|1AART|1DUR	1DMSP|2MBVNT|356VULN|45DMG|5BPWR|7AART|8DUR|9MLV|aRCR
98	14113 23836	   	203.16	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|4aDMG|6RCR|7aLWND|8RPLT|9AART|aBPWR
99	14113 25336	   	203.16	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|4aDMG|6RCR|7RPLT|8aLWND|9AART|aBPWR
100	13111 32361	   	203.02	ACR|4VULN|2DMG|1AART|1DUR	1DMSP|2RCR|356aVULN|45DMG|5BPWR|7DUR|8AART|9RPLT
101	14111 24544	   	202.96	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7DUST|8MLV|9AART
102	14111 24744	   	202.96	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7DUST|8AME|9AART
103	14111 28184	   	202.96	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7FEWX|8AART|9ERES
104	13111 36168	   	202.92	ACR|4VULN|2DMG|1AART|1DUR	1DMSP|2RCR|3567VULN|45DMG|5BPWR|8MBVNT|9DUR|aAART
105	14111 24644	   	202.86	DCR|3VULN|2DMG|1AART	1DMSP|2MBVNT|35aVULN|45DMG|5BPWR|6RCR|7DUST|8ERES|9AART
106	13111 36241	 * 	202.84	ACR|4VULN|3DMG|1CDMG	1DMSP|2RCR|3567VULN|45aDMG|5BPWR|8CDMG|9LHND
107	14111 37216	   	202.78	DCR|4VULN|3DMG	1DMSP|2MBVNT|3567VULN|459DMG|5BPWR|8LHND|aRCR
108	14111 31216	   	202.78	DCR|4VULN|3DMG	1DMSP|2MBVNT|3568VULN|459DMG|5BPWR|7BEXP|aRCR
109	13111 36114	   	202.74	ACR|4VULN|3DMG|1CDMG	1DMSP|2RCR|3567VULN|459DMG|5BPWR|8MBVNT|aCDMG
110	14111 36524	   	202.68	DCR|4VULN|3DMG	1DMSP|2MBVNT|3569VULN|459DMG|59BPWR|789ERES|aRCR
111	13113 36212	   	202.58	ACR|5VULN|1MDPS|1DMG|1CDMG	1DMSP|2RCR|35679VULN|4DMG|8CDMG|aMDPS
112	14181 24148	   	202.57	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8AART|9RCVC|aDMG
113	14181 23246	 * 	202.27	DCR|2VULN|2ASPD|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7LWND|8CDMG|9RMIN|aAART
114	14181 28133	   	202.10	DCR|2VULN|2AART|2ASPD	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7FEWX|8aAART|9RMIN
115	14861 24133	   	202.00	DCR|2VULN|2AART|2ASPD	1DMSP|2MBVNT|35ASPD|45VULN|5BPWR|6RCR|7DUST|8aAART|9RMIN
116	14181 24133	   	202.00	DCR|2VULN|2AART|2ASPD	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8aAART|9RMIN
117	14181 26123	   	201.92	DCR|2VULN|2ASPD|1AART|1NUKE	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7AME|8RPLT|9AART|aNUKE
118	14181 24542	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8MLV|9AART|aDMG
119	14181 24742	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8AME|9AART|aDMG
120	14181 24642	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7DUST|8ERES|9AART|aDMG
121	14148 32171	 * 	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1DMSP|2MBVNT|37aVULN|47LHND|5AART|6RCR|7BPWR|8CDMG|9ASPD
122	13111 32215	   	201.67	ACR|4VULN|3DMG|1AAC|1DUR	1DMSP|2RCR|3568VULN|459DMG|5BPWR|7DUR|aAAC
123	14111 28148	   	201.63	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7FEWX|8AART|9RCVC
124	14111 28127	   	201.63	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aRCVC
125	14111 24148	   	201.53	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8AART|9RCVC
126	14111 24127	   	201.53	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aRCVC
127	14111 23237	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7LWND|8CDMG|9LHND|aAART
