0	Index      	 *	Score 	Summary	Detail	
1	32223 52354	 * 	284.86	DCR|DCR|2VULN|2ASPD|2RPLT	13RPLT|2AAC|48VULN|58ASPD|6aRCR|78ERES|8BPWR|9LIT
2	34533 23224	 * 	270.48	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT|1SELL	1RPLT|2VULN|3LIT|4DMG|5SELL|6aRCR|7ASPD|8TBNT|9AART
3	15232 25162	   	269.73	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6CGEN|7aRCR|8MLV|9DUR
4	33142 52533	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|23ERES|3BPWR|4ASPD|5LHND|69RCR|7aVULN|8CGEN
5	33142 52633	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1RPLT|23ERES|3BPWR|4ASPD|5LHND|69RCR|7aVULN|8RMIN
6	36332 54331	 * 	264.95	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|3BEXP|4MLV|5DMSP|69RCR|7VULN|8RMIN|aLIT
7	36332 54332	   	264.95	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|3BEXP|4MLV|5aDMSP|69RCR|7VULN|8RMIN
8	36433 52331	 * 	264.90	DCR|DCR|2DMG|1VULN|1RPLT	1RPLT|24DMG|3ERES|5BEXP|69RCR|7VULN|8RMIN|aLIT
9	36433 52332	   	264.90	DCR|DCR|2DMG|1VULN|1RPLT	1RPLT|24DMG|3ERES|5BEXP|69RCR|7VULN|8RMIN|aDMSP
10	36332 54333	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|3BEXP|4MLV|5DMSP|69RCR|7VULN|8RMIN|aDUST
11	36433 52333	   	264.80	DCR|DCR|2DMG|1VULN|1RPLT	1RPLT|24DMG|3ERES|5BEXP|69RCR|7VULN|8RMIN|aDUST
12	33136 55132	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|23ERES|3BPWR|4MLV|5MSLTOX|6aRCR|7DMG|8VULN|9DMSP
13	15232 25122	   	261.43	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6CGEN|7aRCR|8MLV|9BEXP
14	15232 25132	   	261.43	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6CGEN|7aRCR|8MLV|9LHND
15	15232 11352	   	261.43	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6FEWX|7MLV|8TLV|9aRCR
16	15232 61352	   	261.43	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6LHND|7MLV|8TLV|9aRCR
17	15232 11152	   	261.33	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6FEWX|7MLV|8ERES|9aRCR
18	15232 25142	   	261.33	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6CGEN|7aRCR|8MLV|9DUST
19	15232 61152	   	261.33	DCR|DCR|2VULN|1MLV	1LIT|25VULN|3BBNT|4RMIN|6LHND|7MLV|8ERES|9aRCR
20	36111 11411	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9BBNT|aASPD
21	36111 11451	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9TBNT|aASPD
22	36113 11411	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9BBNT|aASPD
23	36113 11451	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9TBNT|aASPD
24	36611 11411	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3FLTFST|4LHND|5BEXP|68RCR|7VULN|9BBNT|aASPD
25	36613 11411	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2DMG|3FLTFST|4LHND|5FEWX|68RCR|7VULN|9BBNT|aASPD
26	15125 33152	   	258.75	DCR|DCR|2VULN|2DUR	1LIT|28VULN|3BEXP|47DUR|5BBNT|6CGEN|9aRCR
27	15131 33152	   	258.75	DCR|DCR|2VULN|2DUR	1LIT|28VULN|3BEXP|4BBNT|57DUR|6CGEN|9aRCR
28	15261 33152	   	258.75	DCR|DCR|2VULN|2DUR	1LIT|28VULN|3BBNT|4FEWX|57DUR|6CGEN|9aRCR
29	32242 52633	   	258.75	DCR|DCR|2VULN|2RPLT	13RPLT|2AAC|4CGEN|5LHND|69RCR|7aVULN|8RMIN
30	32224 55333	   	258.65	DCR|DCR|2VULN|2RPLT	13RPLT|2AAC|4aVULN|5ERES|69RCR|7TLV|8LWND
31	15211 33152	   	258.65	DCR|DCR|2VULN|2DUR	1LIT|28VULN|3BBNT|4DUST|57DUR|6CGEN|9aRCR
32	41115 32152	   	258.65	DCR|DCR|2VULN|2DUR	1BBNT|23DUR|4ERES|5FEWX|68VULN|7LIT|9aRCR
33	32242 52533	   	258.65	DCR|DCR|2VULN|2RPLT	13RPLT|2AAC|4CGEN|5LHND|69RCR|7aVULN|8ERES
34	36111 11416	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9BBNT|aDUR
35	36111 11441	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9DUR|aRCVC
36	36111 11443	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9DUR|aBELT
37	36113 11416	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9BBNT|aDUR
38	36113 11441	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9DUR|aRCVC
39	36113 11443	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9DUR|aBELT
40	36111 11442	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5BEXP|68RCR|7VULN|9DUR|aERES
41	36113 11442	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMG|3LSRHEA|4LHND|5FEWX|68RCR|7VULN|9DUR|aERES
