0	Index      	 *	Score 	Summary	Detail	
1	13216 23653	 * 	282.36	橙橙1易伤1等级1攻速1暴击	1平台2易伤3随机技能4基地爆炸5攻速6a核7烈焰减费8等级9暴击
2	31216 26363	 * 	282.10	橙橙1易伤1矿等1技能1攻速	1技能2金币生成3易伤4掉矿5矿等6随机技能7a核8攻速9加一
3	31261 16363	 * 	279.81	橙橙2易伤1技能1攻速	1技能2金币生成36易伤4随机技能5最后敌人7a核8攻速9加一
4	13266 21153	   	276.67	橙橙2易伤1攻速1暴击	1平台28易伤3随机技能4最后敌人5攻速6a核7随机矿9暴击
5	13266 22153	   	276.67	橙橙2易伤1攻速1暴击	1平台28易伤3随机技能4最后敌人5攻速6a核7金币生成9暴击
6	13216 22153	   	276.57	橙橙2易伤1攻速1暴击	1平台28易伤3随机技能4基地爆炸5攻速6a核7金币生成9暴击
7	13216 26153	   	276.47	橙橙2易伤1攻速1暴击	1平台28易伤3随机技能4基地爆炸5攻速6a核7掉矿9暴击
8	13512 23366	   	270.17	橙橙2易伤1技能1暴击	1平台26易伤3技能4挖青5低血量敌人7暴击8双倍秒伤9a核
9	35213 26163	   	269.35	橙橙1易伤1等级1技能	1技能2挖青3双倍矿4易伤5策反6随机技能7a核8等级9加一
10	31236 26363	 * 	268.61	橙橙1易伤2技能1攻速	15技能2金币生成3易伤4挖青6随机技能7a核8攻速9加一
11	25312 23313	 * 	268.42	橙橙2易伤1矿等	1赏金塔28易伤3技能点4低血量敌人5矿等6额外掉落7a核9敌人爆炸
12	25312 23363	   	268.32	橙橙2易伤1矿等	1赏金塔28易伤3技能点4低血量敌人5矿等6额外掉落7a核9基地爆炸
13	11126 61316	 * 	260.49	橙橙1等级1伤害2暴击	1平台24暴击3赏金塔5随机技能6等级7伤害8a核9掉矿
14	11326 61316	   	260.49	橙橙1等级1伤害2暴击	1平台24暴击3赏金邻近5随机技能6等级7伤害8a核9掉矿
15	35633 26111	 * 	258.35	橙3易伤1等级1矿等1技能	1技能2挖青34a易伤4序列升级5策反6随机技能7核8等级9矿等
16	32112 21252	 * 	258.11	橙2易伤2矿等2暴击1技能2时间	1技能2a暴击3立即金币4a时间57易伤6金币生成8核9a矿等a序列升级
17	32114 31252	   	258.10	橙2易伤2矿等2暴击1技能2时间	1技能2a暴击3立即金币4a时间5金币生成67易伤8核9a矿等a序列升级
18	32112 41252	   	258.01	橙2易伤2矿等2暴击1技能2时间	1技能2a暴击3立即金币4a时间57易伤6掉矿8核9a矿等a序列升级
19	51321 34152	 * 	257.33	紫橙1易伤1等级1矿等1伤害	1雷电2立即金币3最后敌人4a核5易伤6伤害7矿等8等级9平台
20	53321 34152	   	257.23	紫橙1易伤1等级1矿等1伤害	1雷电2毒气减费3最后敌人4a核5易伤6伤害7矿等8等级9平台
21	31523 14362	 * 	256.68	橙2易伤2攻速1矿等1伤害1技能	1技能29金币生成39攻速4伤害5全技能6雷电79易伤8核9序列升级a矿等
22	13211 34653	 * 	254.18	橙橙1易伤1伤害1暴击	1平台2易伤3随机技能4基地爆炸5金币生成6伤害7立即金币8a核9暴击
23	51321 24152	   	254.16	紫橙1易伤1等级1矿等1技能	1雷电2立即金币3最后敌人4a核5易伤6技能7矿等8等级9平台
24	13213 34653	   	254.08	橙橙1易伤1伤害1暴击	1平台2易伤3随机技能4基地爆炸5掉矿6伤害7立即金币8a核9暴击
25	13263 32653	   	254.08	橙橙1易伤1伤害1暴击	1平台2易伤3随机技能4最后敌人57掉矿6伤害8a核9暴击
26	33433 34152	   	254.06	紫橙1易伤1等级1矿等1技能	1技能2最后敌人3雷电4易伤5a核6烈焰减费7矿等8等级9平台
27	53321 24152	   	254.06	紫橙1易伤1等级1矿等1技能	1雷电2毒气减费3最后敌人4a核5易伤6技能7矿等8等级9平台
28	13213 32653	   	253.98	橙橙1易伤1伤害1暴击	1平台2易伤3随机技能4基地爆炸57掉矿6伤害8a核9暴击
29	31223 64151	   	253.61	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4雷电5挖青6随机技能7攻速89核a低血量敌人
30	31223 64153	   	253.61	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4雷电5挖青6随机技能7攻速89核a立即金币
31	31232 64151	   	253.61	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4挖青5雷电6随机技能7攻速89核a低血量敌人
32	31232 64153	   	253.61	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4挖青5雷电6随机技能7攻速89核a立即金币
33	31223 64152	   	253.51	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4雷电5挖青6随机技能7攻速89核a爆破对冰
34	31232 64152	   	253.51	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4挖青5雷电6随机技能7攻速89核a爆破对冰
35	31234 26363	   	253.51	橙橙1易伤1技能1攻速	1技能25金币生成3易伤4挖青6随机技能7a核8攻速9加一
36	35212 26363	   	253.51	橙橙1易伤1技能1攻速	1技能2挖青3双倍矿4易伤5金币生成6随机技能7a核8攻速9加一
37	31231 26363	   	253.41	橙橙1易伤1技能1攻速	1技能2金币生成3易伤4挖青5风暴减费6随机技能7a核8攻速9加一
38	43511 11216	   	253.38	橙橙2易伤1暴击	1技能点2暴击3策反46最后敌人57易伤8a核9毒气减费
39	41252 31216	   	253.18	橙橙2易伤1暴击	1技能点2暴雪减费3挖尘4暴击57易伤6策反8a核9毒气减费
40	43252 31216	   	253.18	橙橙2易伤1暴击	1技能点2暴击3挖尘4烈焰减费57易伤6策反8a核9毒气减费
