0	Index      	 *	Score 	Summary	Detail	
1	13422 53334	 * 	204.79	ACR|4VULN|2DMG|1AART|1ZMB	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB
2	13622 53334	 * 	202.14	ACR|3VULN|2AART|2DMG|1ZMB	13AART|27aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB
3	11233 53345	 * 	201.72	DCR|3VULN|2AART|2DMG|1ZMB	15AART|27LIT|3FEWX|47aVULN|67DMG|7BPWR|8RCR|9ZMB
4	13323 53345	   	201.62	DCR|3VULN|2AART|2DMG|1ZMB	15AART|27aVULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9ZMB
5	13422 52333	   	197.43	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	1AART|23aVULN|4LIT|5RCR|68DMG|7ASPD|9ZMB
6	13422 53243	   	193.79	ACR|4VULN|2DMG|1AART	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9RPLT
7	13422 53314	   	193.79	ACR|4VULN|2DMG|1AART	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9CGEN
8	13422 53224	   	193.69	ACR|4VULN|2DMG|1AART	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9ERES
9	13422 53324	   	193.69	ACR|4VULN|2DMG|1AART	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9TLV
10	13622 52333	   	193.22	ACR|2AART|2VULN|2DMG|1ZMB|1ASPD	13AART|2aVULN|4LIT|5RCR|68DMG|7ASPD|9ZMB
11	11231 53345	   	193.07	DCR|3VULN|2DMG|1AART|1ZMB	1AART|27LIT|3FEWX|47aVULN|5RCVC|67DMG|7BPWR|8RCR|9ZMB
12	13221 53345	   	193.07	DCR|3VULN|2DMG|1AART|1ZMB	1AART|27aVULN|3LHND|47LIT|5RCVC|67DMG|7BPWR|8RCR|9ZMB
13	11233 53343	   	193.00	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aDUR
14	13321 53345	   	192.97	DCR|3VULN|2DMG|1AART|1ZMB	1AART|27aVULN|3DUST|47LIT|5RCVC|67DMG|7BPWR|8RCR|9ZMB
15	13323 53343	   	192.90	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9ZMB|aDUR
16	13153 44232	 * 	192.42	DCR|3VULN|3DMG|1AART	1AART|278VULN|36CGEN|478DMG|578CANSTR|78BPWR|9RCR|aBEXP
17	13153 44233	   	192.42	DCR|3VULN|3DMG|1AART	1AART|278VULN|36CGEN|478DMG|578CANSTR|78BPWR|9RCR|aMLV
18	51233 53343	   	192.40	DCR|2AART|2VULN|2DMG|1ZMB|1DUR	17LIT|25AART|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aDUR
19	32263 51213	 * 	192.14	ACR|4VULN|1AART|2CDMG|1ZMB|1DUR	1LHND|256aVULN|36CDMG|4RCR|6BPWR|7ZMB|8AART|9DUR
20	13422 53336	   	191.99	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aRCVC
21	13422 53231	   	191.13	ACR|3VULN|2AART|2DMG	1aAART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9BEXP
22	13422 53261	   	191.13	ACR|3VULN|2AART|2DMG	1aAART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9FEWX
23	13422 53531	   	191.13	ACR|3VULN|2AART|2DMG	1aAART|237VULN|47LIT|5RCR|67DMG|7BPWR|8FEWX|9CGEN
24	13622 53243	   	191.13	ACR|3VULN|2AART|2DMG	13AART|27aVULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9RPLT
25	13622 53314	   	191.13	ACR|3VULN|2AART|2DMG	13AART|27aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9CGEN
26	13422 53251	   	191.03	ACR|3VULN|2AART|2DMG	1aAART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9DUST
27	13422 53431	   	191.03	ACR|3VULN|2AART|2DMG	1aAART|237VULN|47LIT|5RCR|67DMG|7BPWR|8DUST|9CGEN
28	13622 53224	   	191.03	ACR|3VULN|2AART|2DMG	13AART|27aVULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9ERES
29	13622 53324	   	191.03	ACR|3VULN|2AART|2DMG	13AART|27aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9TLV
30	11233 53355	   	190.71	DCR|3VULN|2AART|2DMG	15AART|27LIT|3FEWX|47aVULN|67DMG|7BPWR|8RCR|9RMIN
31	11233 53363	   	190.71	DCR|3VULN|2AART|2DMG	15AART|27LIT|3FEWX|47aVULN|67DMG|7BPWR|8RCR|9BEXP
32	13424 53331	   	190.71	DCR|3VULN|2AART|2DMG	1aAART|237VULN|4LIT|57FEWX|67DMG|7BPWR|8RCR|9CGEN
33	13422 53212	   	190.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aZMB
34	13422 53331	   	190.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47aLIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB
35	13422 53343	   	190.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9RPLT|aZMB
36	13323 53355	   	190.61	DCR|3VULN|2AART|2DMG	15AART|27aVULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9RMIN
37	13323 53363	   	190.61	DCR|3VULN|2AART|2DMG	15AART|27aVULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9BEXP
38	13422 53332	   	190.59	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aMBVNT
39	13422 53333	   	190.59	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aLEGI
40	13422 53631	   	190.59	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47aLIT|5RCR|67DMG|7BPWR|8ERES|9ZMB
41	13422 53633	   	190.59	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8ERES|9ZMB|aDMSP
42	13425 53331	   	190.51	DCR|3VULN|2AART|2DMG	1aAART|237VULN|4LIT|57DUST|67DMG|7BPWR|8RCR|9CGEN
43	13422 22661	 * 	190.50	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	1AART|239VULN|49LIT|5RCR|6BASICY|7DMG|89ZMB|9BPWR|aCDMG
44	13422 53632	   	190.49	ACR|3VULN|2DMG|1AART|1ZMB	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8ERES|9ZMB|aMBVNT
45	13222 53345	   	190.27	DCR|3VULN|2DMG|1AART|1ZMB	1AART|27aVULN|35LHND|47LIT|67DMG|7BPWR|8RCR|9ZMB
46	51233 53363	   	190.11	DCR|3VULN|2AART|2DMG	17LIT|25AART|3FEWX|47aVULN|67DMG|7BPWR|8RCR|9BEXP
47	13261 13423	   	189.00	DCR|3DMG|2VULN|1AART|2DUR	1AART|28VULN|3LHND|48aDMG|5ERES|6BEXP|78DUR|8BPWR|9RCR
48	13221 53341	   	188.87	DCR|2AART|2DMG|2VULN|1ZMB	1aAART|27VULN|3LHND|47LIT|5RCVC|67DMG|7BPWR|8RCR|9ZMB
49	13415 35211	 * 	188.83	ACR|5VULN|1AART|1DMG	1AART|2369aVULN|4LHND|5RCR|7DMSP|8DMG
50	13435 36211	   	188.83	ACR|5VULN|1AART|1DMG	1AART|2369aVULN|47FEWX|5RCR|8DMG
51	13622 53336	   	187.79	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aRCVC
52	13415 32513	   	187.53	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1AART|236aVULN|4LHND|5RCR|7ZMB|8CDMG|9DUR
53	13615 35211	 * 	187.45	ACR|4VULN|2AART|1DMG	13AART|269aVULN|4LHND|5RCR|7DMSP|8DMG
54	13635 36211	   	187.45	ACR|4VULN|2AART|1DMG	13AART|269aVULN|47FEWX|5RCR|8DMG
55	13261 13426	 * 	187.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|28VULN|3LHND|48DMG|5ERES|6BEXP|78DUR|8BPWR|9RCR|aCDMG
56	13422 53211	   	186.63	ACR|3VULN|2DMG|1AART|1DUR	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aDUR
57	13422 53363	   	186.63	ACR|3VULN|2DMG|1AART|1DUR	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9FEWX|aDUR
58	13422 53353	   	186.53	ACR|3VULN|2DMG|1AART|1DUR	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9DUST|aDUR
59	13622 53212	   	186.48	ACR|2AART|2DMG|2VULN|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aZMB
60	13622 53331	   	186.48	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47aLIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB
61	13622 53343	   	186.48	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9RPLT|aZMB
62	13422 22641	   	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|239VULN|4LIT|5RCR|6BASICY|7DMG|8ZMB|aCDMG
63	13422 52314	   	186.43	ACR|3VULN|2DMG|1AART|1ASPD	1AART|23aVULN|4LIT|5RCR|68DMG|7ASPD|9CGEN
64	13622 53332	   	186.38	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aMBVNT
65	13622 53333	   	186.38	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB|aLEGI
66	13622 53631	   	186.38	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47aLIT|5RCR|67DMG|7BPWR|8ERES|9ZMB
67	13622 53633	   	186.38	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8ERES|9ZMB|aDMSP
68	13422 52323	   	186.33	ACR|3VULN|2DMG|1AART|1ASPD	1AART|23aVULN|4LIT|5RCR|68DMG|7ASPD|9TLV
69	13622 22661	 * 	186.30	ACR|2AART|2VULN|1DMG|2ZMB|1CDMG	13AART|29VULN|49LIT|5RCR|6BASICY|7DMG|89ZMB|9BPWR|aCDMG
70	13622 53632	   	186.28	ACR|2AART|2VULN|2DMG|1ZMB	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8ERES|9ZMB|aMBVNT
71	11233 53341	   	186.06	DCR|2AART|2VULN|2DMG|1ZMB	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aDMSP
72	11233 53344	   	186.06	DCR|2AART|2DMG|2VULN|1ZMB	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aCGEN
73	11233 53346	   	186.06	DCR|2AART|2VULN|2DMG|1ZMB	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aMLV
74	13222 53341	   	186.06	DCR|2AART|2DMG|2VULN|1ZMB	1aAART|27VULN|35LHND|47LIT|67DMG|7BPWR|8RCR|9ZMB
75	13323 53341	   	185.96	DCR|2AART|2VULN|2DMG|1ZMB	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9ZMB|aDMSP
76	13323 53344	   	185.96	DCR|2AART|2DMG|2VULN|1ZMB	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9ZMB|aCGEN
77	13323 53346	   	185.96	DCR|2AART|2VULN|2DMG|1ZMB	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9ZMB|aMLV
78	32263 11213	   	185.73	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|256aVULN|3CDMG|4RCR|7ZMB|8AART|9DUR
79	51233 53341	   	185.46	DCR|2AART|2VULN|2DMG|1ZMB	17LIT|25AART|3FEWX|47VULN|67DMG|7BPWR|8RCR|9ZMB|aDMSP
80	32263 51223	   	185.20	ACR|4VULN|1AART|2CDMG|1ZMB	1LHND|256aVULN|36CDMG|4RCR|6BPWR|7ZMB|8AART|9LWND
81	32263 51251	   	184.98	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD|1DUR	1LHND|256VULN|36CDMG|4RCR|6BPWR|7ZMB|8AART|9ASPD|aDUR
82	12423 46212	   	184.89	DCR|2AART|2DMG|2VULN|2DUR	15AART|2aDUR|3aVULN|4LIT|6RPLT|7LHND|8aDMG|9RCR|aBPWR
83	13615 32513	 * 	184.88	ACR|3VULN|2AART|1CDMG|1ZMB|1DUR	13AART|26aVULN|4LHND|5RCR|7ZMB|8CDMG|9DUR
84	12423 44212	   	184.79	DCR|2AART|2VULN|2DMG|2DUR	15AART|2aDUR|3aVULN|4LIT|6RPLT|7DUST|8aDMG|9RCR|aBPWR
85	11231 53343	   	184.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|27LIT|3FEWX|47VULN|5RCVC|67DMG|7BPWR|8RCR|9ZMB|aDUR
86	13321 53343	   	184.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|27VULN|3DUST|47LIT|5RCVC|67DMG|7BPWR|8RCR|9ZMB|aDUR
87	13426 43212	   	183.81	DCR|3VULN|2DMG|1AART|1DUR	1AART|23aVULN|4aLIT|5LHND|6RPLT|7DUR|8aDMG|9RCR|aBPWR
88	13422 22662	   	183.79	ACR|3VULN|1AART|1DMG|2ZMB|1ASPD	1AART|239VULN|49LIT|5RCR|6BASICY|7DMG|89ZMB|9BPWR|aASPD
89	13422 22663	   	183.79	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1AART|239VULN|49LIT|5RCR|6BASICY|7DMG|89ZMB|9BPWR|aDUR
90	51231 53343	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17LIT|2AART|3FEWX|47VULN|5RCVC|67DMG|7BPWR|8RCR|9ZMB|aDUR
91	13435 23234	   	183.69	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1AART|23aVULN|4FEWX|5RCR|69ZMB|7DUR|8DMG
92	13422 52336	   	183.08	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|23VULN|4LIT|5RCR|68DMG|7ASPD|9ZMB|aRCVC
93	22325 36523	 * 	182.71	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	13TLV|23DMG|3BPWR|4CDMG|56VULN|7FLTHEA|8AIRHEL|9RCR|aAART
94	13422 51163	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|23aVULN|4LIT|5RCR|6DMG|7DUR|8CGEN|9CDMG
95	13622 53211	   	182.42	ACR|2AART|2DMG|2VULN|1DUR	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aDUR
96	13622 53363	   	182.42	ACR|2AART|2VULN|2DMG|1DUR	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9FEWX|aDUR
97	13622 53353	   	182.32	ACR|2AART|2VULN|2DMG|1DUR	13AART|27VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9DUST|aDUR
98	22141 22443	   	182.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|25DMG|3RCR|4DUR|6LIT|7aVULN|8AART|9ZMB
99	13622 22641	   	182.25	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	13AART|29VULN|4LIT|5RCR|6BASICY|7DMG|8ZMB|aCDMG
100	13422 51431	   	182.22	ACR|2AART|2VULN|2DMG|1DUR	1aAART|23VULN|4LIT|5RCR|68DMG|7DUR|9CGEN
101	13622 52314	   	182.22	ACR|2AART|2VULN|2DMG|1ASPD	13AART|2aVULN|4LIT|5RCR|68DMG|7ASPD|9CGEN
102	13622 52323	   	182.12	ACR|2AART|2VULN|2DMG|1ASPD	13AART|2aVULN|4LIT|5RCR|68DMG|7ASPD|9TLV
103	11231 53355	   	182.07	DCR|3VULN|2DMG|1AART	1AART|27LIT|3FEWX|47aVULN|5RCVC|67DMG|7BPWR|8RCR|9RMIN
104	11231 53363	   	182.07	DCR|3VULN|2DMG|1AART	1AART|27LIT|3FEWX|47aVULN|5RCVC|67DMG|7BPWR|8RCR|9BEXP
105	13221 53324	   	182.07	DCR|3VULN|2DMG|1AART	1AART|27aVULN|39LHND|47LIT|5RCVC|67DMG|7BPWR|8RCR
106	13221 53355	   	182.07	DCR|3VULN|2DMG|1AART	1AART|27aVULN|3LHND|47LIT|5RCVC|67DMG|7BPWR|8RCR|9RMIN
107	11233 53353	   	182.00	DCR|2AART|2VULN|2DMG|1DUR	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9RMIN|aDUR
