0	Index      	 *	Score 	Summary	Detail	
1	44321 32613	 * 	218.34	DCR|3DMG|2AART|1VULN|1ASPD	14LWND|29AART|345DMG|4BPWR|6RCR|7RCVC|8ASPD|aVULN
2	23635 33143	 * 	217.90	DCR|2VULN|2CDMG|1ASPD|1DMG|1NUKE|1ZMB	1ZMB|24DUST|34CDMG|4BPWR|58VULN|6RCR|7ASPD|9DMG|aNUKE
3	13122 33151	 * 	215.22	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aCDMG|4aBEXP|5ASPD|6RCR|7DMG|8aVULN|9AART|aBPWR
4	13124 33151	   	215.22	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aCDMG|4aBEXP|5DMG|6RCR|7ASPD|8aVULN|9AART|aBPWR
5	13532 33151	   	215.22	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aBEXP|4aCDMG|5ASPD|6RCR|7DMG|8aVULN|9AART|aBPWR
6	13534 33151	   	215.22	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aBEXP|4aCDMG|5DMG|6RCR|7ASPD|8aVULN|9AART|aBPWR
7	13332 33151	   	215.02	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aDUST|4aCDMG|5ASPD|6RCR|7DMG|8aVULN|9AART|aBPWR
8	13334 33151	   	215.02	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RCVC|3aDUST|4aCDMG|5DMG|6RCR|7ASPD|8aVULN|9AART|aBPWR
9	13122 33352	 * 	213.20	DCR|2DMG|2ASPD|1AART|2CDMG|1ZMB	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aZMB
10	13124 33352	   	213.20	DCR|2DMG|2ASPD|1AART|2CDMG|1ZMB	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aZMB
11	16362 33171	 * 	213.00	DCR|3VULN|2ASPD|1AART|2ZMB|1SELL	1LEGI|24aVULN|3SELL|5aASPD|6RCR|7MBVNT|8AART|9aZMB|aBPWR
12	21365 33223	 * 	212.51	DCR|2VULN|2ASPD|3ZMB|1DMG|1DUR|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9DUR|aDMG
13	23365 33223	 * 	212.31	DCR|2VULN|2ASPD|3ZMB|1DMG|1DUR|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9DUR|aDMG
14	41234 33151	   	211.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	13aLWND|2DUST|4aCDMG|5DMG|6RCR|7ASPD|8aVULN|9AART|aBPWR
15	13122 33353	   	211.17	DCR|2DMG|2ASPD|1AART|2CDMG|1DUR	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aDUR
16	13124 33353	   	211.17	DCR|2DMG|2ASPD|1AART|2CDMG|1DUR	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aDUR
17	13114 66323	 * 	211.10	DCR|3VULN|2DMG|2CDMG|1DUR	1LEGI|2RCVC|3aCDMG|4DUR|5aDMG|6RPLT|79aVULN|8RCR|aBPWR
18	13112 66323	 * 	207.73	DCR|3VULN|2ASPD|2CDMG|1DUR	1LEGI|2RCVC|3aCDMG|4DUR|5aASPD|6RPLT|79aVULN|8RCR|aBPWR
19	13126 33366	 * 	207.68	DCR|3ASPD|3CDMG|3ZMB|1DMG	1LEGI|2RCVC|389CDMG|4BEXP|589ZMB|6RCR|789ASPD|89BPWR|aDMG
20	13122 33152	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3CDMG|4BEXP|5ASPD|6RCR|7DMG|8aVULN|9AART
21	13124 33152	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3CDMG|4BEXP|5DMG|6RCR|7ASPD|8aVULN|9AART
22	13532 33152	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3BEXP|4CDMG|5ASPD|6RCR|7DMG|8aVULN|9AART
23	13534 33152	   	207.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3BEXP|4CDMG|5DMG|6RCR|7ASPD|8aVULN|9AART
24	13332 33152	   	207.49	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3DUST|4CDMG|5ASPD|6RCR|7DMG|8aVULN|9AART
25	13334 33152	   	207.49	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3DUST|4CDMG|5DMG|6RCR|7ASPD|8aVULN|9AART
26	23635 33233	 * 	207.44	DCR|2ASPD|3ZMB|1VULN|2CDMG|1DMG	18aZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9DMG
